name,line
Participant,<synch>
Ellie,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this)
Participant,yes
Ellie,okay_confirm (okay)
Ellie,how_doingV (so how are you doing today)
Participant,doing pretty good thank you
Ellie,thats_good (that's good)
Ellie,where_originally (where are you from originally)
Participant,maryland
Ellie,really (really)
Participant,yes
Ellie,when_LA (when did you move to l_a)
Participant,eighty five
Participant,yeah
Ellie,long_time (that's a long time)
Participant,yeah it is a long time
Ellie,often_backB (how often do you go back to your hometown)
Participant,um not as often as i'd like
Ellie,why2 (why)
Participant,um out of work so you know the money issue
Ellie,understand (i understand)
Participant,yeah
Ellie,compares_LA (how does it compare to l_a)
Participant,um
Participant,maryland
Participant,uh is different
Participant,it and so the comparison is
Participant,the only comparison is that um they're both cities
Participant,but uh
Participant,maryland has its flavor and l_a has its own flavor so they have unique you know characteristics about themselves
Ellie,mhm (mhm)
Ellie,why_LA (why did you move to l_a)
Participant,i moved to l_a uh because i was living in hawaii
Participant,and um i was out of money
Participant,and i just had enough for a plane ticket
Participant,uh and come and stay um
Participant,uh here in a hotel until i found a job which i did really quickly but anyway so that's why i came here i didn't wanna go home
Participant,um
Participant,i decided to come here and just start over
Ellie,happy_didthat (are you happy you did that)
Participant,i am i am
Ellie,thats_great (that's great)
Participant,yeah
Ellie,adapted_LA (how easy was it for you to get used to living in l_a)
Participant,um
Participant,it was
Participant,real easy just did it
Ellie,like_about_LA (what are some things you really like about l_a)
Participant,i like i like l_a's weather
Participant,i like uh the different areas in uh los angeles county
Participant,uh west l_a east l_a um
Participant,uh i like southern california
Participant,you know period so
Participant,uh you know i like the people but um
Ellie,uh_huh (uh huh)
Participant,yeah so i like the um
Participant,the
Participant,attitude you know the l_a attitude so yeah
Ellie,dont_like_LA (what are some things you don't really like about l_a)
Participant,um
Participant,i don't like
Participant,um
